0.21,1.2,0.27
0.24,1.23,0.26
0.14,1.35,0.11
0.08,1.39,0.16
0.04,1.35,0.05
0.02,1.28,0.08
0,1.2,0.14
0.01,1.09,0.2
0.03,1.01,0.18
0.03,0.99,0.08
0.01,0.97,0.02
0.03,0.93,0.03
-0.02,0.94,0.08
-0.05,0.94,0.11
-0.06,0.91,0.06
-0.02,0.87,0.07
0.03,0.83,0.1
0.03,0.81,0.14
0.1,0.81,0.03
0.11,0.8,0.05
0.12,0.8,0.07
0.13,0.81,0.09
0.14,0.8,0.12
0.13,0.81,0.14
0.13,0.82,0.08
0.12,0.83,0.07
0.12,0.83,0.12
0.13,0.82,0.17
0.13,0.84,0.17
0.13,0.88,0.16
0.15,0.92,0.15
0.17,0.95,0.13
0.21,1.02,0.13
0.21,1.1,0.13
0.19,1.11,0.19
0.15,1.17,0.09
0.19,1.22,0.1
0.22,1.23,0.13
0.14,1.29,0.24
0.15,1.31,0.21
0.23,1.32,0.1
0.26,1.32,0.05
0.21,1.34,0.04
0.09,1.33,0.08
0.05,1.28,0.01
0.1,1.17,-0.08
0.08,1.03,0
0.05,0.96,0.13
0.06,0.9,0.15
0.11,0.87,0.11
0.12,0.85,0.03
0.11,0.88,-0.07
0.11,0.91,-0.03
0.08,0.94,0.02
0.06,0.94,0.02
0.07,0.9,0.03
0.07,0.88,0.02
0.08,0.84,0.06
0.08,0.82,0.09
0.1,0.83,0.06
0.13,0.82,0.06
0.16,0.81,0.09
0.15,0.81,0.11
0.16,0.81,0.1
0.19,0.79,0.1
0.19,0.8,0.09
0.17,0.84,0.12
0.19,0.89,0.14
0.19,0.92,0.15
0.22,0.94,0.13
0.27,0.95,0.09
0.29,0.99,0.1
0.27,1.06,0.1
0.21,1.15,0.14
0.2,1.19,0.12
0.22,1.22,0.03
0.25,1.22,-0.01
0.26,1.18,0.12
0.18,1.22,0.26
0.16,1.25,0.26
0.18,1.23,0.26
0.2,1.23,0.23
0.17,1.26,0.17
0.08,1.29,0.14
0.1,1.27,0.06
0.12,1.18,0.06
0.1,1.09,0.11
0.03,1.04,0.14
0.02,0.98,0.12
0.03,0.95,0.09
0.03,0.91,0.05
0.03,0.88,0.09
0.02,0.86,0.09
0.02,0.85,0.07
0.01,0.85,0.05
0.02,0.87,0.04
0.07,0.86,0.03
0.11,0.84,0.06
0.1,0.86,0.07
0.08,0.88,0.07
0.14,0.86,0.04
0.15,0.85,0.06
0.14,0.85,0.08
0.13,0.84,0.1
0.14,0.83,0.11
0.16,0.81,0.15
0.16,0.83,0.19
0.18,0.86,0.18
0.21,0.88,0.13
0.23,0.92,0.11
0.24,0.97,0.09
0.19,1.06,0.15
0.19,1.11,0.17
0.24,1.11,0.13
0.28,1.1,0.09
0.26,1.1,0.11
0.21,1.15,0.18
0.19,1.19,0.2
0.24,1.19,0.23
0.23,1.22,0.22
0.27,1.22,0.16
0.3,1.22,0.14
0.27,1.25,0.12
0.18,1.26,0.08
0.12,1.21,0.04
0.11,1.14,0.01
0.11,1.04,0.03
0.09,0.97,0.1
0.07,0.95,0.14
0.07,0.95,0.1
0.09,0.93,0.05
0.13,0.91,0.03
0.15,0.92,0.02
0.12,0.92,0.02
0.1,0.89,0
0.1,0.87,0.03
0.09,0.84,0.07
0.09,0.82,0.11
0.11,0.81,0.11
0.13,0.8,0.09
0.16,0.8,0.1
0.16,0.81,0.12
0.17,0.84,0.12
0.19,0.85,0.1
0.23,0.85,0.08
0.26,0.85,0.11
0.24,0.87,0.15
0.24,0.88,0.15
0.25,0.91,0.13
0.26,0.92,0.11
0.24,0.97,0.12
0.24,1.02,0.17
0.26,1.04,0.14
0.26,1.06,0.1
0.25,1.1,0.08
0.25,1.12,0.09
0.23,1.13,0.11
0.23,1.11,0.11
0.27,1.07,0.18
0.24,1.1,0.24
0.24,1.11,0.23
0.27,1.11,0.23
0.24,1.16,0.25
0.17,1.27,0.19
0.09,1.29,0.14
0.14,1.22,0
0.19,1.06,0.09
0.13,0.95,0.23
0.05,0.91,0.34
0.04,0.92,0.31
0.08,0.92,0.21
0.11,0.91,0.13
